"Occasion","Sample_Size","SMFQ_Mean","SMFQ_SD","SMFQ_Median","SMFQ_IQR","Above_Threshold"
1,7359,4.0392716401685,3.5118262223727,3,5,5.95189563799429
3,6712,3.9700536352801,3.85706049060373,3,4,7.09177592371871
5,6014,4.91852344529431,4.48943317422994,4,5,11.6561356834054
7,4993,5.9074704586421,5.63672658276847,4,6,18.0452633687162
8,4493,6.58312931226352,5.24867369079443,5,7,21.633652348097
9,3333,6.82208220822082,5.92579905688908,5,7,21.8421842184218
10,3303,5.69663941871026,5.57466886723054,4,6,18.0442022403875
11,3919,6.19596835927533,5.52721920996598,5,7,18.7547843837714
12,4021,7.03854762496891,6.05334957475294,5,8,24.6953494155683
14,4019,6.8885294849465,6.41291281508113,5,8,24.3344115451605
16,4215,6.644128113879,6.09932407676128,5,8,22.135231316726
