"Sex","Exposure","Outcome","Covariates","Sample_Size","Standardised.Beta","CI_lower","CI_upper","SE","P.value","P_FDR_corrected","Significant_covariates"
"MALE","log(IL-6)","PEs","Base Model",2337,0.0253537327792338,-0.109008749965697,0.1571092832974,0.066772063188289,0.704163890918704,0.917844417637978,NA
"MALE","log(CRP)","PEs","Base Model",2345,-0.106091359610105,-0.261704782527937,0.0393485541848412,0.0786209466041646,0.177207482616489,0.354414965232978,NA
"FEMALE","log(IL-6)","PEs","Base Model",2395,0.121467971110779,0.0175926421585007,0.226184588498902,0.052041670620554,0.0195929934982064,0.132293345105247,NA
"FEMALE","log(CRP)","PEs","Base Model",2397,0.0335521200649057,-0.0659103264243286,0.133014658196681,0.0513938280816792,0.513857258657767,0.747428739865843,NA
"MALE","DNAm IL-6 score (birth)","PEs","Base Model",432,0.305138204225458,0.0414933498316004,0.575581323809124,0.135953779666692,0.0248050022072338,0.132293345105247,""
"MALE","DNAm CRP score (birth)","PEs","Base Model",432,0.202189264978837,-0.067271836064298,0.474797553142877,0.135631943434784,0.136034995304565,0.31093713212472,"PC8_0"
"FEMALE","DNAm IL-6 score (birth)","PEs","Base Model",440,-0.20666891009974,-0.488416936656741,0.0693125297041293,0.135741993230056,0.127880662938368,0.31093713212472," "
"FEMALE","DNAm CRP score (birth)","PEs","Base Model",440,0.211750871680124,-0.0528416940444403,0.484140541366092,0.135551807521918,0.118255061803078,0.31093713212472,"PC6_0"
"MALE","DNAm IL-6 score (7 years)","PEs","Base Model",432,-0.00297525008849512,-0.276483082278867,0.272224459848332,0.138103713447618,0.982812029947681,0.982812029947681," "
"MALE","DNAm CRP score (7 years)","PEs","Base Model",432,-0.105475353596506,-0.345863511338569,0.135593122106735,0.122477431374092,0.389137837838351,0.691800600601513," "
"FEMALE","DNAm IL-6 score (7 years)","PEs","Base Model",440,-0.111134782078999,-0.386662560694854,0.162323400612954,0.142680289462383,0.436034063094738,0.697654500951581,"PC9_7"
"FEMALE","DNAm CRP score (7 years)","PEs","Base Model",440,0.336689330053525,0.0468712271592092,0.637701191039441,0.148592417711962,0.0234600740610281,0.132293345105247,"PC9_7"
"MALE","CRP PRS (SBayesR)","PEs","Base Model",3095,-0.00791560752557778,-0.120496690668811,0.10461967712956,0.0581382938397948,0.891701629484633,0.982812029947681," "
"FEMALE","CRP PRS (SBayesR)","PEs","Base Model",3306,-0.0148526731079771,-0.105016596727887,0.0752635080832197,0.0458062055244181,0.745748589330857,0.917844417637978,"pc3"
"MALE","IL-6 PRS (SBayesR)","PEs","Base Model",3095,0.00206460347439569,-0.111147980337125,0.115268621387119,0.0568454038333724,0.971027505643952,0.982812029947681," "
"FEMALE","IL-6 PRS (SBayesR)","PEs","Base Model",3306,0.0755008466079389,-0.0155404817671247,0.166867919611483,0.0468562617244494,0.107108064526824,0.31093713212472,"pc3"
